bc49d66,Dan,5 days ago,Merge branch 'master' of github.com:AstralDynamics/PyChat.js
86e4905,eeue56,5 days ago,adding binding for enter key
b40cbb9,Dan,5 days ago,Added avatars for the local user
86624c2,eeue56,5 days ago,fixing username issue
06e0970,eeue56,5 days ago,debuging
bb3efeb,eeue56,5 days ago,fixing typo
f4b3ed2,Dan,5 days ago,Added avatars
394d897,eeue56,5 days ago,fixing MEN-39
ac32f70,eeue56,5 days ago,renaming server
537d599,eeue56,5 days ago,cleaning up files
572cde3,eeue56,5 days ago,added error for username in use
385388e,eeue56,5 days ago,fixed user server
a6a4901,eeue56,5 days ago,fixing and changing whitespace
826dfb5,eeue56,5 days ago,fixing
025386c,eeue56,5 days ago,working on issue MEN-38
74819ed,Dan Prince,6 days ago,Fixed line wrapping
3bd898e,Dan Prince,6 days ago,Fully working chat
e87d1ff,Dan Prince,7 days ago,Merge branch 'master' of github.com:AstralDynamics/PyChat.js
180a61b,Dan Prince,7 days ago,Renamed actions to services
f40cf1b,eeue56,7 days ago,fixed silly dict error
363b1f9,eeue56,7 days ago,Merge branch 'master' of https://github.com/AstralDynamics/PyChat.js
5a2ea1f,eeue56,7 days ago,fixed silly object error
b21bd3b,Dan Prince,7 days ago,Merge branch 'master' of github.com:AstralDynamics/PyChat.js
2600711,Dan Prince,7 days ago,Some CSS fixes
c230773,eeue56,7 days ago,adding connect/disconnect to main app
a3088c4,eeue56,7 days ago,changing newline handling and username support
b2a50da,Dan Prince,7 days ago,Merge branch 'master' of github.com:AstralDynamics/PyChat.js
dc49fa8,Dan Prince,7 days ago,Added a visual pinger and applied some fixes
8a0dfad,eeue56,7 days ago,fixed issue with unicode
954edb0,eeue56,7 days ago,bug fixes
95bb380,eeue56,7 days ago,fixing rooms to allow multiple new-rooms
d4abea0,eeue56,7 days ago,data
db22973,eeue56,7 days ago,added debugs for dan
3b109bb,Dan Prince,7 days ago,Merge branch 'master' of github.com:AstralDynamics/PyChat.js
8bc2b46,Dan Prince,7 days ago,Incoming messages linked to interface
c8a6948,eeue56,7 days ago,syntax error
a49e45f,eeue56,7 days ago,escaped strings
56a1b1b,eeue56,7 days ago,fixing issues with whitespace in json
b8fdd65,eeue56,7 days ago,fixing so new rooms are generated as requested
2908850,eeue56,7 days ago,working on custom naming
bd33d12,Dan Prince,7 days ago,Attached modals to ChatSession and main.js
629e23c,eeue56,7 days ago,Merge branch 'master' of github.com:AstralDynamics/PyChat.js
c1fa277,eeue56,7 days ago,fixed to returning array instead of string
f9797dc,Dan Prince,7 days ago,Client Update
e1291f3,eeue56,7 days ago,forgot semicolon
f7ba741,eeue56,7 days ago,adding requests to client side andsending pings frequently
ffa4d0d,eeue56,7 days ago,added more requests to service builder
fdf9e9e,eeue56,7 days ago,added support for slides
c1be56b,Dan,8 days ago,Restored lost changes
7445620,eeue56,9 days ago,fixing durp
5e07356,subsidel,9 days ago,Update get_slides.php
164978d,subsidel,9 days ago,Create get_slides.php
27a5761,eeue56,9 days ago,adding setup and restructuring layout
b10e5de,eeue56,9 days ago,Merge branch 'master' of github.com:AstralDynamics/PyChat.js
0c6dd4e,eeue56,9 days ago,working on MEN-33
e61dbde,Dan Prince,9 days ago,Removed duplicate js files
7872996,Dan Prince,9 days ago,Merge branch 'master' of github.com:AstralDynamics/PyChat.js
602a79a,subsidel,3 weeks ago,Rename connection.py to database_interface.py
682f8d3,subsidel,3 weeks ago,Create connection.py
6fb78c3,Peter Butcher,3 weeks ago,Added disabled classes for dark and light theme
2cb0bed,eeue56,3 weeks ago,working on bug MEN-32, issue resolved
69ab90c,eeue56,3 weeks ago,Merge branch 'master' of github.com:AstralDynamics/PyChat.js
ac2bb60,eeue56,3 weeks ago,updating pyjs.css for peter
089f990,lilrooness,3 weeks ago,Fixed broken links on Index.html
9294709,Dan Prince,7 weeks ago,Added to gitignor
4075822,eeue56,7 weeks ago,Update .gitignore
892151c,eeue56,7 weeks ago,minor bug fixes
9353b6f,eeue56,7 weeks ago,Merge branch 'master' of https://github.com/AstralDynamics/PyChat.js
1b7ae41,eeue56,7 weeks ago,updated room to work with new protocol
e7efbc6,eeue56,7 weeks ago,added file for protocol handling
dd3996d,eeue56,7 weeks ago,moved parsing out into parser
4d231dc,eeue56,7 weeks ago,moved chat connection out of server
c28e215,eeue56,7 weeks ago,stripped out functionality
2a6b189,eeue56,7 weeks ago,Updated the userlist command to work for rooms
